Title,Type,Availability,MSRP Currency,MSRP,Show Price Currency,Show Price,Publisher,Location,Priority,Notes,Thumbs,BGGId,BGGVersionId,Mfg Product Code,Release Date,Override Release Date,Events
Decktective: You Can't Cheat Death,Standalone,For Sale,USD,15,N/A,N/A,dV Giochi,2105,N/A,N/A,6,361637,615481,,2022-00-00,,
Dom Pierre,Standalone,For Sale,USD,60,N/A,N/A,R&R Games,,N/A,N/A,26,332853,584783,,2022-07-00,,
Bug Off!,Standalone,For Sale,USD,15,N/A,N/A,R&R Games,,N/A,N/A,4,362503,613362,,2022-07-15,,
Stroganov,Standalone,For Sale,USD,65,N/A,N/A,Game Brewer,362,N/A,N/A,31,323156,534057,,2022-02-00,,
Hippocrates,Standalone,For Sale,USD,70,N/A,N/A,Game Brewer,362,N/A,N/A,34,327971,544833,,2022-02-00,,
Rulebenders,Standalone,For Sale,USD,65,N/A,N/A,Game Brewer,362,N/A,N/A,9,275061,448877,,2021-10-00,,
Paris: l'Étoile,Expansion,For Sale,USD,18,N/A,N/A,Game Brewer,362,N/A,N/A,8,336591,560085,,2022-02-00,,
Oak,Standalone,Demo,N/A,N/A,N/A,N/A,Game Brewer,362,N/A,N/A,33,343362,572744,,2022-10-00,,
Amygdala,Standalone,Demo,N/A,N/A,N/A,N/A,Game Brewer,362,N/A,N/A,25,360879,607784,,2023-08-00,,
The Spill,Standalone,For Sale,USD,50,N/A,N/A,Smirk & Dagger Games,729,N/A,N/A,18,338479,563524,SND 1009,2022-08-00,,
boop.,Standalone,For Sale,USD,40,N/A,N/A,Smirk & Laughter Games,729,N/A,N/A,15,355433,597130,SND 1009,2022-09-00,,
The Palaces of Carrara (Second Edition),Standalone,Demo,N/A,N/A,N/A,N/A,Game Brewer,362,N/A,N/A,43,348070,581778,,2022-10-00,,
Wild Kratts Endangered Wildlife Game!,Standalone,For Sale,USD,25,N/A,N/A,Rather Dashing Games,606,N/A,N/A,6,336505,559973,RDGWK01,2022-03-00,,
Coyote Peterson's Wild Adventure,Standalone,For Sale,USD,25,N/A,N/A,Rather Dashing Games,606,N/A,N/A,6,344247,574283,RDGCPWA,2022-02-00,,
Tawantinsuyu: The Golden Age,Expansion,For Sale,USD,35,N/A,N/A,Board&Dice,2535,N/A,N/A,15,357267,600692,,2022-08-00,,
Terracotta Army,Standalone,For Sale,USD,70,N/A,N/A,Board&Dice,2535,N/A,N/A,70,350458,586294,,2022-08-00,,
Founders of Teotihuacan,Standalone,For Sale,USD,50,N/A,N/A,Board&Dice,2535,N/A,N/A,25,345088,575837,,2022-04-00,,
Loot Box #1,Expansion,For Sale,USD,25,N/A,N/A,Board&Dice,2535,N/A,N/A,7,350461,586298,,0000-00-00,March 2022,
Mandala Stones: Harmony,Expansion,For Sale,USD,15,N/A,N/A,Board&Dice,2535,N/A,N/A,11,350460,586297,,2022-04-00,,
Final Girl,Standalone,For Sale,USD,20,N/A,N/A,Van Ryder Games,2949,N/A,N/A,34,277659,453152,,2021-10-00,,
Keepers: A beautiful game for clever people,Standalone,For Sale,USD,35,N/A,N/A,Van Ryder Games,2949,N/A,N/A,4,362106,612121,VRG011,0000-00-00,Q3 2022,
Ashes Reborn: The Queen of Lightning,Expansion,For Sale,USD,15,N/A,N/A,Plaid Hat Games,1217,N/A,N/A,4,353175,591739,PH1221-5,0000-00-00,,
Ashes Reborn: The Artist of Dreams,Expansion,For Sale,USD,15,N/A,N/A,Plaid Hat Games,1217,N/A,N/A,3,353178,591743,PH1222-5,0000-00-00,,
Name The Thing: Retail Hell,Expansion,For Sale,USD,15,N/A,N/A,Lowtek Games LLC,2858,N/A,N/A,2,363232,615509,,0000-00-00,,
Name The Thing: After Dark,Expansion,For Sale,USD,15,N/A,N/A,Lowtek Games LLC,2858,N/A,N/A,2,363233,0,,,,
Name The Thing: Sports Ball,Expansion,For Sale,USD,15,N/A,N/A,Lowtek Games LLC,2858,N/A,N/A,2,363234,0,,,,
Cellulose: A Plant Cell Biology Game,Standalone,For Sale,USD,50,N/A,N/A,Genius Games,,N/A,N/A,21,333372,554878,GOT1013,2022-05-00,,
Genotype: A Mendelian Genetics Game,Standalone,For Sale,USD,50,N/A,N/A,Genius Games,,N/A,N/A,27,252752,595136,GOT 1011,0000-00-00,,
Cytosis: A Cell Biology Board Game,Standalone,For Sale,USD,40,N/A,N/A,Genius Games,,N/A,N/A,13,202977,467376,GOT 1006,0000-00-00,,
Periodic: A Game of The Elements,Standalone,For Sale,USD,40,N/A,N/A,Genius Games,,N/A,N/A,12,257582,415270,GOT 1008,2019-07-22,,
Ecosystem,Standalone,For Sale,USD,15,N/A,N/A,Genius Games,,N/A,N/A,18,271519,443470,UKG0001,2019-11-20,,
Behext,Standalone,Demo,N/A,N/A,N/A,N/A,Smirk & Dagger Games,729,N/A,N/A,6,355632,597505,SND 0071,2022-10-00,,
Akropolis,Standalone,For Sale,USD,35,N/A,N/A,Gigamic,2109 (Hachette Boardgames),N/A,N/A,44,357563,601221,GAKR-EN,2022-07-01,,
In the Palm of Your Hand,Standalone,For Sale,USD,38,N/A,N/A,Hachette Boardgames,2109,N/A,N/A,37,314397,517768,BLINT-EN,2022-05-24,,
Suspects,Standalone,For Sale,USD,25,N/A,N/A,Hachette Boardgames,2109,N/A,N/A,47,322785,555348,STSUS-EN,2022-04-15,,
